year,educ,age,exp,exp_sq,non_white,y,lny
1999,12,19,0,0,0,0.5860192,-0.534402725
2005,10,19,2,4,1,0.5912948,-0.52544057
2000,4,32,21,441,1,0.5917684,-0.524639937
2003,8,24,9,81,0,0.5918503,-0.524501548
1996,14,22,1,1,0,0.5921881,-0.523930958
2000,13,22,2,4,0,0.592698,-0.523070285
1997,10,34,17,289,0,0.5946575,-0.519769669
1996,3,40,30,900,0,0.5954322,-0.518467751
1999,6,38,25,625,0,0.5960745,-0.51738962
2002,13,23,3,9,1,0.5961846,-0.517204928
2005,9,21,5,25,0,0.5974401,-0.515101251
1998,8,31,16,256,0,0.5982406,-0.513762265
2000,9,34,18,324,0,0.601042,-0.509090463
1999,12,37,18,324,0,0.601447,-0.508416861
2004,16,19,-4,16,0,0.6060427,-0.500804833
2005,11,27,9,81,1,0.6060696,-0.500760448
2004,9,18,2,4,1,0.6067383,-0.499657718
2002,18,22,-3,9,0,0.6082792,-0.497121292
1999,13,28,8,64,0,0.6096514,-0.494867961
2001,9,20,4,16,1,0.6101307,-0.494082082
2003,18,22,-3,9,0,0.6108593,-0.492888625
1997,11,18,0,0,0,0.6129851,-0.48941465
2003,12,19,0,0,1,0.615504,-0.485313835
1996,12,20,1,1,0,0.6166245,-0.48349503
1996,1,47,39,1521,0,0.6187587,-0.480039905
1998,6,48,35,1225,0,0.6191785,-0.47936168
2003,17,23,-1,1,0,0.6202806,-0.477583323
2000,9,21,5,25,0,0.620697,-0.476912239
2000,12,22,3,9,0,0.6213616,-0.47584208
2001,14,20,-1,1,1,0.624372,-0.471008934
1999,13,39,19,361,1,0.6265098,-0.467590862
2000,13,22,2,4,0,0.6281348,-0.465000486
1999,7,36,22,484,1,0.6282268,-0.464854031
2000,10,28,11,121,0,0.6309953,-0.460456865
1999,14,24,3,9,0,0.6320118,-0.458847214
1996,15,36,14,196,0,0.6328183,-0.457571944
2003,8,22,7,49,1,0.6328186,-0.45757147
2005,13,24,4,16,0,0.6330422,-0.457218192
2000,11,22,4,16,1,0.633488,-0.456514222
2004,12,21,2,4,0,0.6344314,-0.455026114
1996,17,23,-1,1,0,0.6350408,-0.45406603
2003,15,26,4,16,1,0.6351671,-0.453867165
2003,12,24,5,25,0,0.6374182,-0.450329324
2000,9,50,34,1156,0,0.638171,-0.449149006
1997,16,30,7,49,0,0.6404764,-0.445543005
1998,12,29,10,100,0,0.6433387,-0.441083944
1999,11,19,1,1,0,0.647182,-0.435127726
1998,13,23,3,9,0,0.6497685,-0.431139133
2004,12,23,4,16,1,0.6505641,-0.429915446
1998,2,35,26,676,0,0.6510618,-0.42915071
2004,14,20,-1,1,0,0.6520327,-0.427660565
2000,11,18,0,0,0,0.6531391,-0.425965156
2002,7,31,17,289,1,0.6542242,-0.424305173
2000,12,19,0,0,0,0.6565658,-0.420732362
1997,6,18,5,25,0,0.6569507,-0.420146301
2003,13,23,3,9,0,0.6580353,-0.418496702
2005,15,22,0,0,0,0.6589652,-0.417084553
2005,14,23,2,4,0,0.6592203,-0.416697506
1999,17,29,5,25,0,0.6600677,-0.415412873
1999,0,38,31,961,0,0.660099,-0.415365455
1998,14,27,6,36,0,0.6602902,-0.415075844
2004,11,33,15,225,0,0.6650896,-0.407833511
1996,11,18,0,0,0,0.665295,-0.407524728
1998,3,44,34,1156,0,0.6664686,-0.405762252
1999,14,28,7,49,0,0.6675308,-0.404169747
1996,14,30,9,81,0,0.6685382,-0.402661741
2000,13,26,6,36,0,0.6701221,-0.400295344
1999,5,35,23,529,0,0.6706508,-0.399506695
1996,9,20,4,16,0,0.6719158,-0.397622244
1999,14,23,2,4,0,0.6738853,-0.394695361
1999,13,27,7,49,0,0.6743892,-0.393947887
2000,16,26,3,9,0,0.6747403,-0.393427403
2000,12,23,4,16,0,0.6773223,-0.389608048
2000,13,18,-2,4,0,0.6798513,-0.385881181
1997,13,19,-1,1,0,0.6809122,-0.384321909
2002,17,23,-1,1,1,0.6810213,-0.384161696
2001,6,31,18,324,0,0.682291,-0.382299026
1997,8,46,31,961,0,0.6849456,-0.37841586
2002,13,18,-2,4,0,0.6852838,-0.37792222
2005,12,43,24,576,0,0.6865009,-0.376147743
1997,8,22,7,49,0,0.6901543,-0.370840083
2002,12,22,3,9,0,0.691528,-0.368851637
1996,14,20,-1,1,0,0.6961432,-0.362199893
1996,9,27,11,121,0,0.6962507,-0.362045482
1996,13,29,9,81,1,0.7003873,-0.356121811
2003,15,40,18,324,1,0.7020671,-0.353726295
1996,1,30,22,484,0,0.7020705,-0.353721453
1997,13,23,3,9,0,0.7037584,-0.351320164
2000,7,18,4,16,0,0.7042453,-0.350628546
1998,14,22,1,1,0,0.7057124,-0.34854749
1997,17,23,-1,1,0,0.7081221,-0.345138743
1997,10,19,2,4,0,0.7100471,-0.342423973
2003,6,18,5,25,1,0.7130743,-0.338169656
1999,9,19,3,9,0,0.7145842,-0.336054444
2005,8,30,15,225,0,0.7158935,-0.334223866
1999,7,31,17,289,1,0.716226,-0.333759519
2001,17,23,-1,1,0,0.7163171,-0.333632333
1999,17,22,-2,4,0,0.7164662,-0.333424207
2000,10,33,16,256,0,0.7180185,-0.331259944
2003,12,18,-1,1,1,0.719129,-0.329714521
1999,3,44,34,1156,0,0.7206051,-0.327664003
1997,3,49,39,1521,0,0.7221189,-0.325565472
2000,14,23,2,4,0,0.7261105,-0.320053072
1996,7,22,8,64,0,0.7272721,-0.318454594
1998,11,19,1,1,0,0.7289831,-0.31610473
1999,4,18,7,49,0,0.7290678,-0.315988547
2005,8,20,5,25,1,0.7297733,-0.315021341
2003,12,20,1,1,0,0.7310474,-0.313276979
2002,7,22,8,64,1,0.73106,-0.313259743
2000,1,35,27,729,0,0.7324096,-0.311415359
1997,7,49,35,1225,0,0.734528,-0.308527163
2003,18,23,-2,4,0,0.7358088,-0.306784977
2000,9,20,4,16,0,0.7362028,-0.306249655
2005,9,18,2,4,1,0.73779,-0.304096048
1999,7,34,20,400,1,0.738772,-0.302765931
1996,12,20,1,1,0,0.7407096,-0.300146633
1997,17,49,25,625,0,0.7424194,-0.297840966
2000,5,43,31,961,0,0.743243,-0.296732235
2002,10,33,16,256,0,0.7433364,-0.296606578
1999,10,18,1,1,0,0.7441479,-0.295515474
