"year","educ","age","exp","income","non_white","exp_sq"
1996,9,21,5,6.327732,0,25
1999,11,24,6,,0,36
2000,12,25,6,1.124271,0,36
2003,11,28,10,1.227829,0,100
2000,13,23,3,0,0,9
2002,14,25,4,10.32558,0,16
2003,15,26,4,13.15142,0,16
2004,18,27,2,10.70545,0,4
2005,18,28,3,12.10359,0,9
2002,10,40,23,,0,529
2004,12,42,23,7.363081,0,529
1996,13,36,16,3.334449,1,256
1997,16,37,14,16.22672,1,196
1998,14,38,17,16.0791,1,289
1999,16,39,16,16.21075,1,256
2002,14,42,21,16.46507,1,441
2003,10,43,26,23.14832,1,676
2004,9,44,28,21.27489,1,784
1996,10,39,22,11.09034,1,484
1998,13,40,20,3.391123,1,400
1998,14,41,20,9.346063,1,400
1999,10,42,25,,1,625
1996,13,34,14,10.62427,1,196
1998,11,35,17,26.67849,1,289
1998,12,36,17,25.55301,1,289
2000,12,37,18,69.44595,1,324
1996,11,36,18,11.73715,0,324
1997,13,37,17,13.85381,0,289
1998,10,38,21,3.12916,0,441
2002,13,42,22,3.011674,0,484
2003,16,43,20,12.48246,0,400
2004,17,44,20,12.42738,0,400
2005,15,45,23,16.98644,0,529
1996,5,40,28,13.80826,0,784
1997,6,41,28,14.63953,0,784
1998,10,42,25,16.33628,0,625
1999,5,43,31,15.91656,0,961
1999,7,18,4,5.236536,0,16
2002,8,21,6,6.016377,0,36
2003,6,22,9,7.301773,0,81
2004,10,23,6,8.399064,0,36
2005,8,24,9,14.21133,0,81
2004,12,20,1,8.986363,0,1
2005,13,21,1,8.78504,0,1
1996,17,34,10,14.36455,1,100
1997,14,35,14,13.86951,1,196
1998,12,36,17,15.2717,1,289
1999,17,37,13,17.12049,1,169
2000,15,38,16,17.64661,1,256
2002,17,40,16,20.08139,1,256
2004,14,42,21,10.51672,1,441
1996,15,32,10,10.14127,0,100
1997,14,33,12,12.02438,0,144
1998,12,34,15,11.70614,0,225
1999,9,35,19,9.996663,0,361
2000,11,36,18,14.74201,0,324
2002,12,38,19,17.27538,0,361
1996,8,30,15,8.852769,0,225
1997,9,31,15,10.26813,0,225
1998,13,32,12,11.44761,0,144
1999,10,33,16,9.416032,0,256
2000,14,34,13,12.44859,0,169
2002,13,36,16,12.74715,0,256
2003,10,37,20,14.9693,0,400
2004,15,39,17,18.47626,0,289
2005,11,39,21,16.4494,0,441
1996,15,29,7,9.477767,0,49
1997,16,30,7,1.057617,0,49
1999,13,33,13,3.733371,0,169
2003,17,37,13,20.38923,0,169
2004,17,38,14,21.35668,0,196
2005,16,39,16,20.92747,0,256
1996,10,29,12,2.927444,0,144
1998,12,31,12,6.357425,0,144
1999,10,32,15,5.533911,0,225
2004,16,37,14,0,0,196
1996,12,29,10,7.942547,0,100
1997,16,30,7,8.90911,0,49
1998,13,31,11,9.104242,0,121
1999,17,32,8,8.205715,0,64
2000,15,33,11,13.16755,0,121
2002,13,35,15,15.95666,0,225
2003,14,36,15,19.39109,0,225
2004,17,37,13,24.68474,0,169
2005,16,38,15,26.46218,0,225
1996,8,42,27,14.68832,0,729
1997,11,43,25,15.85702,0,625
1998,10,44,27,15.88956,0,729
1999,8,45,30,16.86683,0,900
2000,13,46,26,17.53912,0,676
2002,13,48,28,24.73175,0,784
2003,8,49,34,18.95753,0,1156
2004,11,50,32,23.46819,0,1024
1997,13,34,14,1.49642,0,196
1998,11,35,17,3.362022,0,289
1999,15,36,14,3.450757,0,196
2000,9,37,21,4.208539,0,441
2003,16,40,17,9.057887,0,289
2004,9,41,25,10.33893,0,625
2005,9,42,26,10.27823,0,676
1996,17,30,6,17.95181,0,36
1997,14,31,10,17.50269,0,100
1998,17,32,8,19.6476,0,64
1999,17,33,9,26.07034,0,81
2000,16,34,11,30.37539,0,121
2002,17,36,12,38.42445,0,144
2003,18,37,12,34.95937,0,144
2004,15,38,16,33.86702,0,256
2005,15,39,17,30.46236,0,289
1996,12,30,11,20.02721,0,121
1997,15,31,9,26.37463,0,81
1998,17,32,8,33.73562,0,64
2000,11,34,16,40.28288,0,256
2003,13,36,16,55.09486,0,256
2003,12,37,18,55.47194,0,324
1996,11,32,14,13.95477,0,196
1997,15,33,11,14.98106,0,121
1998,14,34,13,16.79967,0,169
2003,13,48,28,,0,784
2004,9,49,33,,0,1089
1996,6,38,25,6.90338,0,625
1997,6,39,26,8.192696,0,676
1998,12,40,21,8.664817,0,441
1999,11,41,23,8.743531,0,529
2000,7,42,28,9.578986,0,784
2002,10,44,27,10.40276,0,729
2003,9,45,29,13.8709,0,841
2004,10,46,29,15.09974,0,841
2005,7,47,33,12.33893,0,1089
1996,16,30,7,19.90242,0,49
1997,16,31,8,21.20042,0,64
1998,17,32,8,25.04558,0,64
1996,13,22,2,6.714499,0,4
1997,9,23,7,4.317357,0,49
1998,10,24,7,3.594727,0,49
1999,15,25,3,5.268625,0,9
2000,15,26,4,5.750059,0,16
2003,11,28,10,6.676124,0,100
2004,11,29,11,6.984978,0,121
2005,14,30,9,8.269076,0,81
1996,13,47,27,15.19316,0,729
1997,14,48,27,17.20057,0,729
1998,12,49,30,18.85621,0,900
1999,14,50,29,23.01781,0,841
2000,10,22,5,1.313666,0,25
2004,11,26,8,10.77632,0,64
2005,15,27,5,16.77732,0,25
2003,15,27,5,1.423413,0,25
2004,15,29,7,11.78322,0,49
2005,13,30,10,19.02275,0,100
1996,13,22,2,2.980131,0,4
1997,9,23,7,3.328146,0,49
1998,13,24,4,3.316716,0,16
1999,9,25,9,3.225028,0,81
2000,10,26,9,4.619404,0,81
2002,8,28,13,6.082304,0,169
2003,10,29,12,6.624048,0,144
2004,9,30,14,7.416547,0,196
2005,10,31,14,6.366869,0,196
2002,10,38,21,16.85273,0,441
2003,6,39,26,17.51316,0,676
2004,5,40,28,18.37357,0,784
2005,12,41,22,13.80504,0,484
2002,2,36,27,7.249006,1,729
2003,2,37,28,9.152162,1,784
2004,2,38,29,9.486609,1,841
2005,4,39,28,10.06466,1,784
1999,5,41,29,,0,841
2000,0,42,35,13.34764,0,1225
2002,1,44,36,6.636416,0,1296
2003,4,45,34,4.751663,0,1156
2004,3,46,36,4.708685,0,1296
2005,6,47,34,8.326797,0,1156
1996,12,38,19,15.67239,1,361
1997,16,39,16,14.62249,1,256
1998,18,40,15,17.7804,1,225
1999,18,41,16,15.43512,1,256
2000,18,42,17,17.8942,1,289
